pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P001,CN_GBA_MO_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,229,CN->MO:229,并存（按孰严执行）:229,并行义务:229,contextual:170; none:38; lex_specialis:16; lex_superior:5,GBAMC-DRAFT-0600,PIPL第39条要求告知并取得单独同意；GBA指引第4条要求按属地法律告知或取得同意。两者均为出境前义务，并行不悖，按孰严执行。,,,,,
P002,CN_PIPL_Art38_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,203,CN->MO:203,并存（按孰严执行）:203,并行义务:203,contextual:178; none:25,GBAMC-DRAFT-0600,内地法要求出境具备安全评估、认证或标准合同等条件；澳门法要求接收地具备适当保护程度。分属不同法域，义务累积适用，不存在一方压制另一方。,,,,,
P003,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:192,192,CN->MO:192,待定（口径未明）:192,一般与例外:142; 并行义务:50,lex_specialis:144; contextual:48,GBAMC-DRAFT-0600,GBA指引允许注册于九市或澳门的处理者经标准合同跨境提供个人信息，港方材料称豁免《标准合同办法》第4条数量限制；《促进和规范数据跨境流动规定》晚出且未明文衔接，业内对敏感个人信息超1万人能否仍走GBA标准合同存在分歧。按并存处理，两条义务并行，不判定一方压制另一方。,,,,,
P004,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:140,140,CN->MO:140,待定（口径未明）:140,一般与例外:127; 并行义务:12; 强制与可选:1,lex_specialis:118; contextual:20; lex_posterior:2,GBAMC-DRAFT-0601,GBA指引允许敏感信息超1万人仍用标准合同，出境规定第7条要求1万人以上敏感信息申报安全评估。两口径并存，须同时满足备案与评估要求，按孰严执行。,,,,,
P005,MO_PDPA_Art19_001,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系; AI裁决不一致,,140,MO->CN:138; CN->MO:2,并存（按孰严执行）:139; 无冲突:1,一般与例外:140,lex_specialis:140,GBAMC-DRAFT-0620,第19条为澳门个人资料出境一般原则，第20条为法定例外；二者非相互排斥，应并行适用，符合例外情形时方可转移。,,,,,
P006,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:96,96,CN->HK:96,待定（口径未明）:96,一般与例外:69; 并行义务:27,lex_specialis:64; contextual:32,GBAMC-DRAFT-0240,GBA标准合同与内地标准合同/认证路径并行；港方材料称GBA指引豁免数量限制，但《促进和规范数据跨境流动规定》晚出且衔接未明，两种口径并存，按孰严并行履行。,,,,,
P007,CN_GDHMD_001,HK_PDPO_DPP3_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,94,HK->CN:94,并存（按孰严执行）:94,并行义务:94,contextual:93; none:1,GBAMC-DRAFT-0000,香港PDPO使用限制原则与内地团体标准分级建议并行适用，前者为法定义务，后者为推荐性技术参考，二者不相互排斥，应同时遵守。,,,,,
P008,CN_PIPL_Art39_001,HK_PDPO_DPP1_003,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,94,CN->HK:94,并存（按孰严执行）:94,并行义务:94,contextual:89; none:5,GBAMC-DRAFT-0241,内地法要求告知并取得单独同意，香港PDPO要求收集时告知目的及移转对象；分属不同法域，义务并存，按孰严执行。,,,,,
P009,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:86,86,CN->HK:86,待定（口径未明）:86,一般与例外:80; 并行义务:6,lex_specialis:74; contextual:12,GBAMC-DRAFT-0240,GBA指引允许敏感个人信息超1万人仍用标准合同，出境规定第7条要求1万人以上敏感个人信息申报安全评估。两口径并存，暂按cumulative，按孰严执行。,,,,,
P010,CN_GDHMD_001,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,61,MO->CN:61,并存（按孰严执行）:61,并行义务:61,contextual:59; none:2,GBAMC-DRAFT-0120,澳门法要求出境须确保内地适当保护水平；广东团标建议基因数据跨境需国家审批和匿名化。两者分属不同法域，义务并存，但团标非法规，不得替代澳门PDPA判断，亦不产生内地审批义务。,,,,,
P011,CN_GDHMD_008,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,AI裁决不一致,normalized_basis_to_none:47,58,CN->MO:42; CN->HK:16,排除左:36; 无冲突:14; 并存（按孰严执行）:8,强制与可选:48; 并行义务:9; 一般与例外:1,none:57; contextual:1,GBAMC-DRAFT-0250,团体标准非法规，不得压制或替代法律。其假名化、水印要求可作为技术参考，与PIPL第38条并行不构成规范冲突。,,,,,
P012,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,57,CN->HK:57,并存（按孰严执行）:57,并行义务:57,contextual:40; none:7; lex_specialis:7; lex_superior:3,GBAMC-DRAFT-0240,GBA指引要求告知或同意，PIPL要求单独同意；两者均为内地出境前义务，并行不悖，按孰严执行。,,,,,
P013,CN_GDHMD_008,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,normalized_basis_to_none:41,55,CN->MO:52; CN->HK:3,排除左:32; 并存（按孰严执行）:12; 无冲突:11,强制与可选:42; 并行义务:13,none:53; contextual:2,GBAMC-DRAFT-0253,团体标准为推荐性技术文件，非法规，不得压制或替代部门规章；检验检查数据分级要求与出境路径并行不悖。,,,,,
P014,MO_PDPA_Art19_002,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系,,52,MO->CN:49; CN->MO:3,并存（按孰严执行）:52,并行义务:28; 一般与例外:23; 义务与许可:1,contextual:28; lex_specialis:24,GBAMC-DRAFT-0623,第19条第2款为无适当保护程度时由当局个案决定，第20条为当事人同意等例外；二者并行，不构成一方压制另一方。,,,,,
P015,CN_GDHMD_008,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,50,HK->CN:50,并存（按孰严执行）:50,并行义务:50,contextual:49; none:1,GBAMC-DRAFT-0000,香港保安原则要求采取切实可行措施保障数据；内地团体标准建议检验影像假名化水印。两者均为保护性义务，可同时满足。,,,,,
P016,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系,,48,CN->HK:27; CN->MO:21,排除左:48,一般与例外:48,lex_specialis:48,GBAMC-DRAFT-0250,操作涉及敏感个人信息（诊断、检验、用药、不良事件），第5条豁免明确不含敏感个人信息，故第5条不适用，应依第8条订立标准合同或认证。,,,,,
P017,CN_GBA_MO_GUIDE_Art7,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:47,47,CN->MO:47,待定（口径未明）:47,并行义务:47,contextual:35; none:12,GBAMC-DRAFT-0601,GBA指引要求10个工作日内向粤网信办或澳门个资局备案，出境规定第8条要求订立标准合同或认证。备案与合同/认证并行，须同时完成。,,,,,
P018,CN_PIPL_Art38_001,HK_PDPO_DPP4_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,46,CN->HK:46,并存（按孰严执行）:46,并行义务:46,contextual:43; none:3,GBAMC-DRAFT-0241,内地要求出境具备安全评估、认证或标准合同条件，香港要求采取保安措施。分属不同法域，义务并行，按孰严执行。,,,,,
P019,CN_PIPL_Art39_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,45,CN->MO:45,并存（按孰严执行）:45,并行义务:45,contextual:32; none:13,GBAMC-DRAFT-0601,内地要求单独同意，澳门允许当事人明确同意作为转移例外。两者均为同意机制，并行适用，按孰严执行。,,,,,
P020,CN_GDHMD_023,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,41,HK->CN:41,并存（按孰严执行）:41,并行义务:41,contextual:41,GBAMC-DRAFT-0481,香港PDPO保安原则要求采取切实可行措施保障资料；广东团体标准建议跨境远程监护用DTLS 1.3加密。两者均为安全义务，并行不悖，按孰严执行。,,,,,
