pair_id,left_rule_id,right_rule_id,left_law,right_law,left_norm,right_norm,机器标记,校验标记,出现查询数,方向分布,AI裁决分布,AI冲突类型分布,AI依据分布,示例query,AI理由样例,专家裁决(无冲突/稳定冲突/场景依赖),专家冲突类型,专家压制方向,专家法理依据(lex_specialis/lex_superior/contextual/none),专家备注
P001,CN_GBA_MO_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,225,CN->MO:225,并存（按孰严执行）:225,并行义务:225,lex_specialis:217; lex_superior:8,GBAMC-DRAFT-0600,GBA指引第4条告知同意不得低于PIPL第39条单独同意标准，二者并行适用，均须履行，不构成排斥。,,,,,
P002,MO_PDPA_Art19_001,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系; AI裁决不一致,,224,MO->CN:208; CN->MO:16,并存（按孰严执行）:221; 无冲突:2; 排除左:1,一般与例外:224,lex_specialis:224,GBAMC-DRAFT-0603,第19条为澳门向境外转移的一般原则，第20条为明确同意等例外情形；二者属同一法域内一般与例外关系，应并行适用，不构成相互排斥。,,,,,
P003,CN_PIPL_Art39_001,MO_PDPA_Art20_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,178,CN->MO:178,并存（按孰严执行）:178,并行义务:178,contextual:173; none:5,GBAMC-DRAFT-0600,内地单独同意与澳门明确同意分属不同法域，义务并存，澳门同意不能替代内地单独同意。,,,,,
P004,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:163,163,CN->MO:163,待定（口径未明）:163,一般与例外:145; 并行义务:10; 义务与许可:8,lex_specialis:123; contextual:38; lex_superior:1; lex_posterior:1,GBAMC-DRAFT-0600,GBA指引允许标准合同跨境，但敏感个人信息超1万人时第7条要求安全评估；港方材料称GBA豁免数量限制，官方衔接未明，两种口径并存，按孰严并行。,,,,,
P005,CN_GBA_MO_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:138,138,CN->MO:138,待定（口径未明）:138,一般与例外:89; 并行义务:48; 义务与许可:1,lex_specialis:76; contextual:61; lex_superior:1,GBAMC-DRAFT-0600,第8条对不满1万人敏感个人信息要求标准合同或认证；GBA指引亦以标准合同为路径，二者并行不排斥，但数量豁免争议按并存处理。,,,,,
P006,CN_PIPL_Art38_001,MO_PDPA_Art19_001,个人信息保护法,澳门《个人资料保护法》,法律,澳门法律,跨法域,,128,CN->MO:128,并存（按孰严执行）:128,并行义务:128,contextual:123; none:5,GBAMC-DRAFT-0601,内地出境路径义务与澳门入境适当保护义务分属不同法域，累积适用，按孰严执行。,,,,,
P007,CN_GBA_HK_GUIDE_Art4,CN_PIPL_Art39_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,,119,CN->HK:119,并存（按孰严执行）:119,并行义务:119,lex_specialis:99; lex_superior:19; contextual:1,GBAMC-DRAFT-0240,PIPL第39条单独同意与GBA指引第4条告知同意并行，后者不得低于前者标准，义务并存。,,,,,
P008,CN_GBA_MO_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:97,97,CN->MO:97,待定（口径未明）:97,义务与许可:92; 并行义务:4; 强制与可选:1,lex_superior:93; lex_specialis:3; contextual:1,GBAMC-DRAFT-0603,主体为CIIO，PIPL第40条要求安全评估，GBA标准合同路径不豁免该义务，上位法优先。,,,,,
P009,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art7_002,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:94,94,CN->HK:94,待定（口径未明）:94,一般与例外:91; 义务与许可:3,lex_specialis:83; contextual:9; lex_posterior:2,GBAMC-DRAFT-0240,敏感个人信息超1万人应申报安全评估；GBA指引对数量限制有豁免争议，官方未明文衔接，两种口径并存，按孰严并行执行。,,,,,
P010,HK_PDPO_DPP1_002,HK_PDPO_DPP3_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,93,HK->CN:86; CN->HK:7,并存（按孰严执行）:93,并行义务:93,contextual:87; none:6,GBAMC-DRAFT-0258,两原则同属香港PDPO，分别规范收集目的与使用限制，义务并行不排斥，须同时遵守。,,,,,
P011,CN_GDHMD_008,CN_OUTBOUND_Art7_002,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,,90,CN->HK:51; CN->MO:39,无冲突:89; 并存（按孰严执行）:1,并行义务:57; 强制与可选:33,none:89; contextual:1,GBAMC-DRAFT-0240,团体标准为推荐性技术文件，不创设法律义务，不得作为审批或压制依据，与部门规章不构成冲突。,,,,,
P012,CN_GDHMD_008,CN_OUTBOUND_Art8_001,广东省健康医疗数据安全分类分级管理技术规范,促进和规范数据跨境流动规定,团体标准（推荐性技术文件）,部门规章,AI裁决不一致,,84,CN->MO:60; CN->HK:24,无冲突:82; 并存（按孰严执行）:2,并行义务:56; 强制与可选:28,none:84,GBAMC-DRAFT-0242,团体标准为推荐性技术文件，不创设法律义务，不得压制或替代部门规章；仅作分级参考。,,,,,
P013,CN_GBA_HK_GUIDE_Art2,CN_PIPL_Art40_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,个人信息保护法,规范性文件（实施指引）,法律,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:83,83,CN->HK:83,待定（口径未明）:83,义务与许可:77; 一般与例外:4; 并行义务:1; 强制与可选:1,lex_superior:80; lex_specialis:3,GBAMC-DRAFT-0241,若属CIIO或达量，第40条境内存储与安全评估义务优先，GBA标准合同不豁免；主体身份待审核确认。,,,,,
P014,CN_GDHMD_001,HK_PDPO_DPP3_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域; AI裁决不一致,,69,HK->CN:69,并存（按孰严执行）:68; 无冲突:1,并行义务:69,contextual:66; none:3,GBAMC-DRAFT-0000,香港使用限制原则与内地团体标准分级建议分属不同法域，义务并存；团体标准非法律，不压制PDPO，按孰严执行。,,,,,
P015,CN_GDHMD_023,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域,,60,HK->CN:60,并存（按孰严执行）:60,并行义务:60,contextual:60,GBAMC-DRAFT-0480,香港保安措施要求与广东团体标准加密建议并行，团体标准不创设法律义务，仅作参考。,,,,,
P016,HK_PDPO_DPP3_001,HK_PDPO_DPP4_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,60,HK->CN:60,并存（按孰严执行）:60,并行义务:60,contextual:58; none:2,GBAMC-DRAFT-0004,保安措施义务与使用限制义务并行，须同时遵守，不构成规范冲突。,,,,,
P017,CN_GBA_HK_GUIDE_Art2,CN_OUTBOUND_Art8_001,粤港澳大湾区（内地、香港）个人信息跨境流动标准合同实施指引,促进和规范数据跨境流动规定,规范性文件（实施指引）,部门规章,跨法域; GBA指引相关,gba_quantitative_exemption_disputed:59,59,CN->HK:59,待定（口径未明）:59,一般与例外:42; 并行义务:16; 义务与许可:1,lex_specialis:39; contextual:20,GBAMC-DRAFT-0242,敏感个人信息超1万人，按第8条应标准合同或认证；GBA指引对数量限制有豁免争议。两口径并存，按孰严执行，不单方压制。,,,,,
P018,CN_OUTBOUND_Art5_004,CN_OUTBOUND_Art8_001,促进和规范数据跨境流动规定,促进和规范数据跨境流动规定,部门规章,部门规章,同法内关系,,53,CN->MO:35; CN->HK:18,排除左:53,一般与例外:53,lex_specialis:53,GBAMC-DRAFT-0255,第5条豁免仅限不含敏感个人信息且不满10万人；本操作含敏感个人信息，豁免不适用，应按第8条订立标准合同或认证。,,,,,
P019,CN_GBA_MO_GUIDE_Art7,CN_HGR_Art28_001,粤港澳大湾区（内地、澳门）个人信息跨境流动标准合同实施指引,人类遗传资源管理条例,规范性文件（实施指引）,行政法规,跨法域; GBA指引相关,,50,CN->MO:50,并存（按孰严执行）:50,并行义务:50,contextual:43; none:7,GBAMC-DRAFT-0605,人类遗传资源信息对外提供须向科技行政部门备案并备份，与GBA标准合同备案是并行程序，互不替代。,,,,,
P020,HK_PDPO_DPP1_003,HK_PDPO_DPP3_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,50,HK->CN:50,并存（按孰严执行）:50,并行义务:50,contextual:48; none:2,GBAMC-DRAFT-0004,告知义务与使用限制义务并行，均须履行，不存在相互排斥或矛盾。,,,,,
P021,CN_GDHMD_008,HK_PDPO_DPP4_001,广东省健康医疗数据安全分类分级管理技术规范,香港《个人资料（私隐）条例》,团体标准（推荐性技术文件）,香港主体条例,跨法域; AI裁决不一致,,47,HK->CN:47,并存（按孰严执行）:46; 无冲突:1,并行义务:47,contextual:45; none:2,GBAMC-DRAFT-0001,香港保安原则与内地团体标准假名化建议并行适用，互不排斥；团体标准不创设法律义务，仅作参考。,,,,,
P022,CN_PIPL_Art39_001,HK_PDPO_DPP1_002,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,43,CN->HK:43,并存（按孰严执行）:43,并行义务:43,contextual:43,GBAMC-DRAFT-0241,内地与香港法域义务累积适用，香港保障资料原则与内地告知同意并行，按孰严执行。,,,,,
P023,HK_PDPO_DPP1_003,HK_PDPO_DPP4_001,香港《个人资料（私隐）条例》,香港《个人资料（私隐）条例》,香港主体条例,香港主体条例,同法内关系,,40,HK->CN:40,并存（按孰严执行）:40,并行义务:40,contextual:39; none:1,GBAMC-DRAFT-0003,告知义务与保安义务并行，均须履行，不存在一方压制另一方。,,,,,
P024,CN_GDHMD_001,MO_PDPA_Art19_001,广东省健康医疗数据安全分类分级管理技术规范,澳门《个人资料保护法》,团体标准（推荐性技术文件）,澳门法律,跨法域,,38,MO->CN:38,并存（按孰严执行）:38,并行义务:38,contextual:38,GBAMC-DRAFT-0120,广东团体标准为推荐性技术文件，不创设法律义务；澳门PDPA为法律义务。二者分属不同法域，义务并存，按孰严执行。,,,,,
P025,CN_SPI_001,HK_PDPO_DPP3_001,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,38,HK->CN:38,并存（按孰严执行）:38,并行义务:38,contextual:38,GBAMC-DRAFT-0480,香港使用限制原则与内地敏感个人信息处理规则并行适用，无相互排斥，按孰严执行。,,,,,
P026,CN_SPI_001,HK_PDPO_DPP1_002,网络安全标准实践指南 — 敏感个人信息识别指南,香港《个人资料（私隐）条例》,技术指南（推荐性）,香港主体条例,跨法域,,35,HK->CN:35,并存（按孰严执行）:35,并行义务:35,contextual:35,GBAMC-DRAFT-0480,香港PDPO收集目的限制与内地敏感个人信息识别分属不同法域，义务并存，按孰严执行，不构成排斥。,,,,,
P027,CN_PIPL_Art38_001,HK_PDPO_DPP3_001,个人信息保护法,香港《个人资料（私隐）条例》,法律,香港主体条例,跨法域,,34,CN->HK:34,并存（按孰严执行）:34,并行义务:34,contextual:34,GBAMC-DRAFT-0242,内地出境路径义务与香港PDPO使用限制原则分属不同法域，义务并存，按孰严执行。,,,,,
P028,CN_OUTBOUND_Art7_002,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,33,CN->MO:24; CN->HK:9,无冲突:33,并行义务:33,lex_specialis:33,GBAMC-DRAFT-0243,PIPL第38条为出境路径总则，第7条为敏感个人信息数量门槛具体化；同一义务双重基础，应并行适用。,,,,,
P029,MO_PDPA_Art19_002,MO_PDPA_Art20_001,澳门《个人资料保护法》,澳门《个人资料保护法》,澳门法律,澳门法律,同法内关系,,32,MO->CN:28; CN->MO:4,并存（按孰严执行）:32,一般与例外:29; 并行义务:3,lex_specialis:29; contextual:3,GBAMC-DRAFT-0733,澳门PDPA第19条为一般规则，第20条为明确同意等例外；二者属一般与例外关系，按澳门法适用，不排斥内地义务。,,,,,
P030,CN_OUTBOUND_Art8_001,CN_PIPL_Art38_001,促进和规范数据跨境流动规定,个人信息保护法,部门规章,法律,,,30,CN->MO:19; CN->HK:11,无冲突:30,并行义务:30,lex_specialis:30,GBAMC-DRAFT-0248,PIPL第38条为出境基本路径，出境规定第8条为门槛具体化，属同一义务双重基础。,,,,,
P031,CN_GDHMD_008,CN_PIPL_Art38_001,广东省健康医疗数据安全分类分级管理技术规范,个人信息保护法,团体标准（推荐性技术文件）,法律,,,28,CN->MO:19; CN->HK:9,无冲突:28,并行义务:15; 强制与可选:13,none:28,GBAMC-DRAFT-0269,团体标准为推荐性技术文件，不创设法律义务，不得作为审批或压制PIPL出境路径的依据。,,,,,
